architecture,training_family,regularization,source,n,events_per_neuron_second_mean,mean_abs_evidence_mean,mean_abs_final_membrane_mean,mean_events_per_valid_output_position_mean,mean_total_output_events_per_sample_mean,negative_evidence_fraction_mean,potential_multi_crossing_fraction_mean,zero_spike_sample_fraction_mean,negative_event_fraction_mean,positive_event_fraction_mean,events_per_neuron_second_std,mean_abs_evidence_std,mean_abs_final_membrane_std,mean_events_per_valid_output_position_std,mean_total_output_events_per_sample_std,negative_evidence_fraction_std,potential_multi_crossing_fraction_std,zero_spike_sample_fraction_std,negative_event_fraction_std,positive_event_fraction_std
34x34,local_tsce,task_plus_reg,probe_analog_sum,3,,0.027364657588853186,,,,0.40251086076135784,,,,,0.0,0.007051662251501198,0.0,0.0,0.0,0.0042347933047056216,0.0,0.0,0.0,0.0
34x34,local_tsce,task_plus_reg,probe_bipolar_lif_beta05_cap1,3,0.0,0.027364657588853186,0.039484226751289465,0.0,0.0,0.40251086076135784,0.0,1.0,0.0,0.0,0.0,0.007051662251501198,0.010047287989271325,0.0,0.0,0.0042347933047056216,0.0,0.0,0.0,0.0
34x34,local_tsce,task_plus_reg,probe_if_beta1_cap1,3,1.2748693027023046,0.027364657588853186,1.044854812529672,0.01991983285472351,19.764840182648403,0.40251086076135784,0.0,0.0273972602739726,,,0.31823326408728475,0.007051662251501198,0.20094386423176855,0.004972394751363824,4.933705433298417,0.0042347933047056216,0.0,0.02372672339135448,0.0,0.0
34x34,local_tsce,task_plus_reg,probe_lif_beta05_cap1,3,0.0,0.027364657588853186,0.07725493998601503,0.0,0.0,0.40251086076135784,0.0,1.0,,,0.0,0.007051662251501198,0.01927153406341313,0.0,0.0,0.0042347933047056216,0.0,0.0,0.0,0.0
34x34,local_tsce,task_plus_reg,probe_lif_beta05_cap31,3,0.0,0.027364657588853186,0.07725493998601503,0.0,0.0,0.40251086076135784,0.0,1.0,,,0.0,0.007051662251501198,0.01927153406341313,0.0,0.0,0.0042347933047056216,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_only,native_e2e_lif,3,7.795449525071791,0.2471063913667714,0.4533760298009389,0.12180389882924673,120.85616438356165,0.3791924379648038,0.016373978352109565,0.0,,,0.6842228932734056,0.039150590046347106,0.11744507804701346,0.010690982707396962,10.607798074824332,0.04792234594396703,0.0034674155966877094,0.0,0.0,0.0
34x345,e2e_wc,task_only,native_w_analog_sum,3,,0.2471063913667714,,,,0.3791924379648038,,,,,0.0,0.039150590046347106,0.0,0.0,0.0,0.04792234594396703,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_only,probe_analog_sum,3,,0.026735795229435717,,,,0.39660417126868425,,,,,0.0,0.0003382818024475818,0.0,0.0,0.0,0.009261207535240784,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_only,probe_bipolar_lif_beta05_cap1,3,0.0,0.026735795229435717,0.04017641816691713,0.0,0.0,0.39660417126868425,0.0,1.0,0.0,0.0,0.0,0.0003382818024475818,0.0017744312679346059,0.0,0.0,0.009261207535240784,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_only,probe_if_beta1_cap1,3,1.1566158603931964,0.026735795229435717,0.9562505267825339,0.018072122818643694,17.931506849315067,0.39660417126868425,0.0,0.0319634703196347,,,0.007109996438891573,0.0003382818024475818,0.005231686467306958,0.00011109369435768082,0.11022929410569353,0.009261207535240784,0.0,0.007908907797118161,0.0,0.0
34x345,e2e_wc,task_only,probe_lif_beta05_cap1,3,0.0,0.026735795229435717,0.0770084746647567,0.0,0.0,0.39660417126868425,0.0,1.0,,,0.0,0.0003382818024475818,0.003045372389754973,0.0,0.0,0.009261207535240784,0.0,0.0,0.0,0.0
34x345,e2e_wc,task_only,probe_lif_beta05_cap31,3,0.0,0.026735795229435717,0.0770084746647567,0.0,0.0,0.39660417126868425,0.0,1.0,,,0.0,0.0003382818024475818,0.003045372389754973,0.0,0.0,0.009261207535240784,0.0,0.0,0.0,0.0
