architecture,family,regularization,seed,source,split,accuracy,balanced_accuracy,macro_f1
234x234,a1_shared_tsce,task_plus_reg,11,l2_wholecount_linear,train,0.9707401032702238,0.9713806003350477,0.9731415954049462
234x234,a1_shared_tsce,task_plus_reg,11,l2_wholecount_linear,val,0.5634920634920635,0.5494167869167869,0.5475379688537584
234x234,a1_shared_tsce,task_plus_reg,23,l2_fixed250_linear,test,0.5753424657534246,0.5666930291930291,0.5473567600405836
234x234,a1_shared_tsce,task_plus_reg,23,l2_fixed250_linear,train,0.9913941480206541,0.9916750460868108,0.9919403868477947
234x234,a1_shared_tsce,task_plus_reg,23,l2_fixed250_linear,val,0.5555555555555556,0.5472703222703222,0.5506415445108405
234x234,a1_shared_tsce,task_plus_reg,23,l2_wholecount_linear,test,0.547945205479452,0.5364371739371739,0.5263945528438282
234x234,a1_shared_tsce,task_plus_reg,23,l2_wholecount_linear,train,0.9724612736660929,0.972796722339405,0.9746389220579049
234x234,a1_shared_tsce,task_plus_reg,23,l2_wholecount_linear,val,0.5396825396825397,0.5262325637325638,0.5229306679255079
234x234,a1_shared_tsce,task_plus_reg,37,l2_fixed250_linear,test,0.6164383561643836,0.6048201798201799,0.6025371559747562
234x234,a1_shared_tsce,task_plus_reg,37,l2_fixed250_linear,train,0.9586919104991394,0.958161904936643,0.9613937463809722
234x234,a1_shared_tsce,task_plus_reg,37,l2_fixed250_linear,val,0.5873015873015873,0.5691558441558441,0.5739500205676676
234x234,a1_shared_tsce,task_plus_reg,37,l2_wholecount_linear,test,0.6095890410958904,0.5995282495282496,0.5827943726300787
234x234,a1_shared_tsce,task_plus_reg,37,l2_wholecount_linear,train,0.9345955249569707,0.9338063718945101,0.938432227005258
234x234,a1_shared_tsce,task_plus_reg,37,l2_wholecount_linear,val,0.49206349206349204,0.4780483405483406,0.4695980641110649
234x234,a2_shared_wholecount,task_only,11,l2_fixed250_linear,test,0.541095890410959,0.5380702630702631,0.5448628701557394
234x234,a2_shared_wholecount,task_only,11,l2_fixed250_linear,train,0.9982788296041308,0.9983974358974358,0.9983818770226538
234x234,a2_shared_wholecount,task_only,11,l2_fixed250_linear,val,0.6111111111111112,0.6079485329485329,0.6207547040785026
234x234,a2_shared_wholecount,task_only,11,l2_wholecount_linear,test,0.589041095890411,0.5828123265623265,0.5722115769747598
234x234,a2_shared_wholecount,task_only,11,l2_wholecount_linear,train,0.9948364888123924,0.9949430199430199,0.9950494807181837
234x234,a2_shared_wholecount,task_only,11,l2_wholecount_linear,val,0.5952380952380952,0.6035233285233285,0.6058234736213146
234x234,a2_shared_wholecount,task_only,23,l2_fixed250_linear,test,0.5821917808219178,0.5722374847374847,0.5809443272049141
234x234,a2_shared_wholecount,task_only,23,l2_fixed250_linear,train,0.9982788296041308,0.9983974358974358,0.9983818770226538
234x234,a2_shared_wholecount,task_only,23,l2_fixed250_linear,val,0.6507936507936508,0.6595779220779222,0.6671350787807496
234x234,a2_shared_wholecount,task_only,23,l2_wholecount_linear,test,0.5616438356164384,0.5463085525585526,0.5420911715830046
234x234,a2_shared_wholecount,task_only,23,l2_wholecount_linear,train,0.9896729776247849,0.9900398022456846,0.9902242133929163
234x234,a2_shared_wholecount,task_only,23,l2_wholecount_linear,val,0.5793650793650794,0.5749098124098124,0.5769790517230942
234x234,a2_shared_wholecount,task_only,37,l2_fixed250_linear,test,0.589041095890411,0.5748758186258186,0.5819986949981878
234x234,a2_shared_wholecount,task_only,37,l2_fixed250_linear,train,0.9879518072289156,0.9874436641672567,0.9883786890947607
234x234,a2_shared_wholecount,task_only,37,l2_fixed250_linear,val,0.5714285714285714,0.5695286195286194,0.5726117916602086
234x234,a2_shared_wholecount,task_only,37,l2_wholecount_linear,test,0.5205479452054794,0.5106032856032855,0.5076990256967373
234x234,a2_shared_wholecount,task_only,37,l2_wholecount_linear,train,0.9690189328743546,0.9688515813227231,0.969923251666389
234x234,a2_shared_wholecount,task_only,37,l2_wholecount_linear,val,0.5793650793650794,0.5890031265031265,0.5993005567653905
234x234,a2_shared_wholecount,task_plus_reg,11,l2_fixed250_linear,test,0.6232876712328768,0.6108447108447108,0.6040297784909854
234x234,a2_shared_wholecount,task_plus_reg,11,l2_fixed250_linear,train,0.9862306368330465,0.9868626054410369,0.9873810073350319
234x234,a2_shared_wholecount,task_plus_reg,11,l2_fixed250_linear,val,0.6349206349206349,0.6382455507455508,0.642031176708596
234x234,a2_shared_wholecount,task_plus_reg,11,l2_wholecount_linear,test,0.5684931506849316,0.5684496059496059,0.5581321439564193
234x234,a2_shared_wholecount,task_plus_reg,11,l2_wholecount_linear,train,0.9810671256454389,0.9809995422514367,0.9821609622204414
234x234,a2_shared_wholecount,task_plus_reg,11,l2_wholecount_linear,val,0.6349206349206349,0.6377825877825878,0.6392265913099245
234x234,a2_shared_wholecount,task_plus_reg,23,l2_fixed250_linear,test,0.6232876712328768,0.6111312298812298,0.6177986922768707
234x234,a2_shared_wholecount,task_plus_reg,23,l2_fixed250_linear,train,0.9931153184165232,0.9932776101893749,0.9935015225035588
234x234,a2_shared_wholecount,task_plus_reg,23,l2_fixed250_linear,val,0.5793650793650794,0.5698292448292449,0.5788838257508333
234x234,a2_shared_wholecount,task_plus_reg,23,l2_wholecount_linear,test,0.589041095890411,0.5765963203463202,0.5795078360513086
234x234,a2_shared_wholecount,task_plus_reg,23,l2_wholecount_linear,train,0.9879518072289156,0.9884954066021399,0.9887792035601684
234x234,a2_shared_wholecount,task_plus_reg,23,l2_wholecount_linear,val,0.5873015873015873,0.575511063011063,0.5691279270286089
234x234,a2_shared_wholecount,task_plus_reg,37,l2_fixed250_linear,test,0.6232876712328768,0.6115301365301364,0.6100182929565113
234x234,a2_shared_wholecount,task_plus_reg,37,l2_fixed250_linear,train,0.9948364888123924,0.9949430199430199,0.9950641589019406
234x234,a2_shared_wholecount,task_plus_reg,37,l2_fixed250_linear,val,0.6349206349206349,0.6263407888407889,0.6367263651154601
234x234,a2_shared_wholecount,task_plus_reg,37,l2_wholecount_linear,test,0.6438356164383562,0.6266074203574203,0.6300630271958028
234x234,a2_shared_wholecount,task_plus_reg,37,l2_wholecount_linear,train,0.9328743545611016,0.9308678284429243,0.9346210265304432
234x234,a2_shared_wholecount,task_plus_reg,37,l2_wholecount_linear,val,0.626984126984127,0.6067881192881193,0.6067170577518963
234x234,f1_fixed250_tsce,task_only,11,l2_fixed250_linear,test,0.5821917808219178,0.5693015318015318,0.5790278855534386
234x234,f1_fixed250_tsce,task_only,11,l2_fixed250_linear,train,0.9982788296041308,0.9983974358974358,0.9983818770226538
234x234,f1_fixed250_tsce,task_only,11,l2_fixed250_linear,val,0.6031746031746031,0.5920454545454544,0.6018091051137029
234x234,f1_fixed250_tsce,task_only,11,l2_wholecount_linear,test,0.5547945205479452,0.5404553779553779,0.5341760833783308
234x234,f1_fixed250_tsce,task_only,11,l2_wholecount_linear,train,0.8519793459552496,0.8478914371999263,0.8505652622447589
234x234,f1_fixed250_tsce,task_only,11,l2_wholecount_linear,val,0.5238095238095238,0.5069203944203944,0.5202368917761407
234x234,f1_fixed250_tsce,task_only,23,l2_fixed250_linear,test,0.6438356164383562,0.62749333999334,0.6245358806924967
234x234,f1_fixed250_tsce,task_only,23,l2_fixed250_linear,train,0.9965576592082617,0.996545584045584,0.996651896640988
234x234,f1_fixed250_tsce,task_only,23,l2_fixed250_linear,val,0.6111111111111112,0.6006794131794132,0.6073681977473503
234x234,f1_fixed250_tsce,task_only,23,l2_wholecount_linear,test,0.5753424657534246,0.5548250360750361,0.5365384421040192
234x234,f1_fixed250_tsce,task_only,23,l2_wholecount_linear,train,0.9242685025817556,0.9244939712545598,0.9268417722316582
234x234,f1_fixed250_tsce,task_only,23,l2_wholecount_linear,val,0.5476190476190477,0.5380110630110632,0.5550732101463122
234x234,f1_fixed250_tsce,task_only,37,l2_fixed250_linear,test,0.678082191780822,0.6577131202131202,0.6591558374104145
