contrast,rotation,probe,test_ba_delta
D0_minus_D2,3,l2__spike__fixed250_count,0.005924823633156939
D0_minus_D1,4,input__events__whole_count,-0.04543650793650783
D1_minus_D2,4,input__events__whole_count,0.03560363247863241
D0_minus_D2,4,input__events__whole_count,-0.009832875457875423
D0_minus_D1,4,input__events__fixed250_count,-0.05913843101343097
D1_minus_D2,4,input__events__fixed250_count,0.07765186202686203
D0_minus_D2,4,input__events__fixed250_count,0.01851343101343106
D0_minus_D1,4,l1__syn_current__whole_mean,-0.06528413715913707
D1_minus_D2,4,l1__syn_current__whole_mean,-0.02811228123728136
D0_minus_D2,4,l1__syn_current__whole_mean,-0.09339641839641843
D0_minus_D1,4,l1__syn_current__fixed250_ordered_mean,-0.017213573463573478
D1_minus_D2,4,l1__syn_current__fixed250_ordered_mean,0.005525030525030432
D0_minus_D2,4,l1__syn_current__fixed250_ordered_mean,-0.011688542938543045
D0_minus_D1,4,l1__pre_reset__whole_mean,0.03946759259259262
D1_minus_D2,4,l1__pre_reset__whole_mean,-0.06262337199837208
D0_minus_D2,4,l1__pre_reset__whole_mean,-0.023155779405779453
D0_minus_D1,4,l1__pre_reset__fixed250_ordered_mean,-0.01655982905982904
D1_minus_D2,4,l1__pre_reset__fixed250_ordered_mean,0.039027523402523356
D0_minus_D2,4,l1__pre_reset__fixed250_ordered_mean,0.022467694342694317
D0_minus_D1,4,l1__spike__whole_mean,-0.038597629222629215
D1_minus_D2,4,l1__spike__whole_mean,0.01273402523402519
D0_minus_D2,4,l1__spike__whole_mean,-0.025863603988604027
D0_minus_D1,4,l1__spike__fixed250_ordered_mean,0.012455484330484323
D1_minus_D2,4,l1__spike__fixed250_ordered_mean,-0.04432870370370379
D0_minus_D2,4,l1__spike__fixed250_ordered_mean,-0.031873219373219464
D0_minus_D1,4,l1__post_reset__whole_mean,0.01547746235246239
D1_minus_D2,4,l1__post_reset__whole_mean,-0.017026607651607666
D0_minus_D2,4,l1__post_reset__whole_mean,-0.0015491452991452752
D0_minus_D1,4,l1__post_reset__fixed250_ordered_mean,-0.018841575091574986
D1_minus_D2,4,l1__post_reset__fixed250_ordered_mean,0.04021036833536836
D0_minus_D2,4,l1__post_reset__fixed250_ordered_mean,0.02136879324379337
D0_minus_D1,4,l1__spike__whole_count,-0.04285841473341471
D1_minus_D2,4,l1__spike__whole_count,0.013902879527879533
D0_minus_D2,4,l1__spike__whole_count,-0.028955535205535177
D0_minus_D1,4,l1__spike__fixed250_count,-0.0028807997557998197
D1_minus_D2,4,l1__spike__fixed250_count,-0.03562779812779806
D0_minus_D2,4,l1__spike__fixed250_count,-0.038508597883597874
D0_minus_D1,4,l2__syn_current__whole_mean,-0.02272588522588524
D1_minus_D2,4,l2__syn_current__whole_mean,0.007919973544973516
D0_minus_D2,4,l2__syn_current__whole_mean,-0.01480591168091172
D0_minus_D1,4,l2__syn_current__fixed250_ordered_mean,-0.016210063085063158
D1_minus_D2,4,l2__syn_current__fixed250_ordered_mean,0.02395324582824589
D0_minus_D2,4,l2__syn_current__fixed250_ordered_mean,0.0077431827431827345
D0_minus_D1,4,l2__pre_reset__whole_mean,-0.03169134106634101
D1_minus_D2,4,l2__pre_reset__whole_mean,0.025239112739112685
D0_minus_D2,4,l2__pre_reset__whole_mean,-0.0064522283272283225
D0_minus_D1,4,l2__pre_reset__fixed250_ordered_mean,-0.004697039072039093
D1_minus_D2,4,l2__pre_reset__fixed250_ordered_mean,0.029124694749694757
D0_minus_D2,4,l2__pre_reset__fixed250_ordered_mean,0.024427655677655664
D0_minus_D1,4,l2__spike__whole_mean,-0.035470085470085476
D1_minus_D2,4,l2__spike__whole_mean,0.06034925722425721
D0_minus_D2,4,l2__spike__whole_mean,0.02487917175417174
D0_minus_D1,4,l2__spike__fixed250_ordered_mean,0.004913258038258002
D1_minus_D2,4,l2__spike__fixed250_ordered_mean,-0.0016089234839234967
D0_minus_D2,4,l2__spike__fixed250_ordered_mean,0.0033043345543345057
D0_minus_D1,4,l2__post_reset__whole_mean,-0.03237815425315419
D1_minus_D2,4,l2__post_reset__whole_mean,0.007993742368742321
D0_minus_D2,4,l2__post_reset__whole_mean,-0.024384411884411872
D0_minus_D1,4,l2__post_reset__fixed250_ordered_mean,-0.005966371591371533
D1_minus_D2,4,l2__post_reset__fixed250_ordered_mean,0.00544363044363048
D0_minus_D2,4,l2__post_reset__fixed250_ordered_mean,-0.0005227411477410534
D0_minus_D1,4,l2__spike__whole_count,-0.018306115181115228
D1_minus_D2,4,l2__spike__whole_count,0.047388838013838086
D0_minus_D2,4,l2__spike__whole_count,0.029082722832722858
D0_minus_D1,4,l2__spike__fixed250_count,-0.033371489621489635
D1_minus_D2,4,l2__spike__fixed250_count,0.0015949328449328393
D0_minus_D2,4,l2__spike__fixed250_count,-0.031776556776556796
