contrast,architecture,training_family,source,regularization,metric,n,delta_mean,delta_std
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,,accuracy,3,-0.006849315068493104,0.035590085087031736
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,,balanced_accuracy,3,0.0014714452214452483,0.039624339718977136
reg_minus_task_only,234x234,e2e_wc,post_output_fixed250,,macro_f1,3,0.008197676796888728,0.05136384859404332
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,,accuracy,3,0.02968036529680364,0.02768117728991358
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,,balanced_accuracy,3,0.027221852221852267,0.03937199796473356
reg_minus_task_only,234x234,e2e_wc,pre_output_fixed250,,macro_f1,3,0.029338939183539508,0.026919947586440594
reg_minus_task_only,234x234,local_tsce,l2_fixed250,,accuracy,3,-0.002283105022831059,0.020925003173314312
reg_minus_task_only,234x234,local_tsce,l2_fixed250,,balanced_accuracy,3,-0.0014790764790764503,0.016888026473731724
reg_minus_task_only,234x234,local_tsce,l2_fixed250,,macro_f1,3,-0.013032283789617257,0.00949514118736774
reg_minus_task_only,234x234,local_tsce,temporary_analog_head,,accuracy,3,0.01141552511415526,0.02092500317331436
reg_minus_task_only,234x234,local_tsce,temporary_analog_head,,balanced_accuracy,3,0.0077857327857327645,0.025569767403319257
reg_minus_task_only,234x234,local_tsce,temporary_analog_head,,macro_f1,3,0.004094999929419456,0.033512537398513856
reg_minus_task_only,34x234,e2e_wc,e2e_wholecount,,accuracy,3,0.02054794520547944,0.04794520547945211
reg_minus_task_only,34x234,e2e_wc,e2e_wholecount,,balanced_accuracy,3,0.020055638805638838,0.05169740425993996
reg_minus_task_only,34x234,e2e_wc,e2e_wholecount,,macro_f1,3,0.01960862822527996,0.0476289578376776
reg_minus_task_only,34x234,e2e_wc,l2_fixed250,,accuracy,3,0.02511415525114158,0.03088527227960882
reg_minus_task_only,34x234,e2e_wc,l2_fixed250,,balanced_accuracy,3,0.02418114293114293,0.029903228076512845
reg_minus_task_only,34x234,e2e_wc,l2_fixed250,,macro_f1,3,0.014342495507124594,0.021229097278009097
reg_minus_task_only,34x234,e2e_wc,post_output_fixed250,,accuracy,3,0.04566210045662098,0.07637319033642802
reg_minus_task_only,34x234,e2e_wc,post_output_fixed250,,balanced_accuracy,3,0.04419631294631293,0.07749541466636688
reg_minus_task_only,34x234,e2e_wc,post_output_fixed250,,macro_f1,3,0.037386605978687405,0.07835845877615914
reg_minus_task_only,34x234,e2e_wc,pre_output_fixed250,,accuracy,3,-0.01141552511415526,0.014257986297713233
reg_minus_task_only,34x234,e2e_wc,pre_output_fixed250,,balanced_accuracy,3,-0.01886007511007513,0.019691809413128158
reg_minus_task_only,34x234,e2e_wc,pre_output_fixed250,,macro_f1,3,-0.02506550283967442,0.034412953794990424
reg_minus_task_only,34x234,local_tsce,l2_fixed250,,accuracy,3,0.034246575342465745,0.036243168644720436
reg_minus_task_only,34x234,local_tsce,l2_fixed250,,balanced_accuracy,3,0.034016446516446565,0.03804149573411082
reg_minus_task_only,34x234,local_tsce,l2_fixed250,,macro_f1,3,0.0325347877947774,0.032698365353850525
reg_minus_task_only,34x234,local_tsce,temporary_analog_head,,accuracy,3,0.0182648401826484,0.052312507933285825
reg_minus_task_only,34x234,local_tsce,temporary_analog_head,,balanced_accuracy,3,0.017967680467680474,0.05097811451815405
reg_minus_task_only,34x234,local_tsce,temporary_analog_head,,macro_f1,3,0.016128954158294462,0.06409840416088411
reg_minus_task_only,34x34,e2e_wc,e2e_wholecount,,accuracy,3,-0.0182648401826484,0.06327126237694533
reg_minus_task_only,34x34,e2e_wc,e2e_wholecount,,balanced_accuracy,3,-0.013961963961963956,0.06741343135275239
reg_minus_task_only,34x34,e2e_wc,e2e_wholecount,,macro_f1,3,-0.013279466405209791,0.07129618600298691
reg_minus_task_only,34x34,e2e_wc,l2_fixed250,,accuracy,3,0.0182648401826484,0.02405400400194688
reg_minus_task_only,34x34,e2e_wc,l2_fixed250,,balanced_accuracy,3,0.021954665704665716,0.019273539755269246
reg_minus_task_only,34x34,e2e_wc,l2_fixed250,,macro_f1,3,0.015588871789358527,0.019997188414654074
reg_minus_task_only,34x34,e2e_wc,post_output_fixed250,,accuracy,3,0.02511415525114154,0.055784437090733434
reg_minus_task_only,34x34,e2e_wc,post_output_fixed250,,balanced_accuracy,3,0.02930056055056048,0.06955815791814149
reg_minus_task_only,34x34,e2e_wc,post_output_fixed250,,macro_f1,3,0.03852565908365796,0.07518529192479624
reg_minus_task_only,34x34,e2e_wc,pre_output_fixed250,,accuracy,3,0.020547945205479496,0.018121584322360218
reg_minus_task_only,34x34,e2e_wc,pre_output_fixed250,,balanced_accuracy,3,0.019394263144263107,0.01374777948618819
reg_minus_task_only,34x34,e2e_wc,pre_output_fixed250,,macro_f1,3,0.013118643494154092,0.03340224864151781
reg_minus_task_only,34x34,local_tsce,l2_fixed250,,accuracy,3,-0.004566210045662082,0.015817815594236354
reg_minus_task_only,34x34,local_tsce,l2_fixed250,,balanced_accuracy,3,-0.005260942760942762,0.01540990530418137
reg_minus_task_only,34x34,local_tsce,l2_fixed250,,macro_f1,3,-0.012405826194018976,0.01673196451027831
reg_minus_task_only,34x34,local_tsce,temporary_analog_head,,accuracy,3,0.002283105022831041,0.007908907797118177
reg_minus_task_only,34x34,local_tsce,temporary_analog_head,,balanced_accuracy,3,0.0025372775372775047,0.003111064659112526
reg_minus_task_only,34x34,local_tsce,temporary_analog_head,,macro_f1,3,-0.0011038291905866766,0.0038801601667403187
reg_minus_task_only,34x345,e2e_wc,e2e_wholecount,,accuracy,3,-0.0684931506849315,0.05436475296708065
reg_minus_task_only,34x345,e2e_wc,e2e_wholecount,,balanced_accuracy,3,-0.06525002775002771,0.05828765015392019
reg_minus_task_only,34x345,e2e_wc,e2e_wholecount,,macro_f1,3,-0.07122856981419712,0.06266634221302424
reg_minus_task_only,34x345,e2e_wc,l2_fixed250,,accuracy,3,-0.03424657534246576,0.05931680847838623
reg_minus_task_only,34x345,e2e_wc,l2_fixed250,,balanced_accuracy,3,-0.03393759018759007,0.05903945278125478
reg_minus_task_only,34x345,e2e_wc,l2_fixed250,,macro_f1,3,-0.04677017680978288,0.05188415071374934
reg_minus_task_only,34x345,e2e_wc,post_output_fixed250,,accuracy,3,-0.03652968036529682,0.1443781895320765
reg_minus_task_only,34x345,e2e_wc,post_output_fixed250,,balanced_accuracy,3,-0.04122081622081614,0.1409497400831308
